customer_id,customer_segment,city,state,country
CUS000088,STANDARD,Indore,Madhya Pradesh,India
CUS000089,STANDARD,Coimbatore,Tamil Nadu,India
CUS000090,PREMIUM,Chennai,Tamil Nadu,India
CUS000091,STANDARD,Chandigarh,Chandigarh,India
CUS000092,PREMIUM,Kolkata,West Bengal,India
CUS000093,PREMIUM,Coimbatore,Tamil Nadu,India
CUS000094,PREMIUM,Nashik,Maharashtra,India
CUS000095,VIP,Indore,Madhya Pradesh,India
CUS000096,STANDARD,Visakhapatnam,Andhra Pradesh,India
CUS000097,STANDARD,Nagpur,Maharashtra,India
CUS000098,VIP,Pune,Maharashtra,India
CUS000099,STANDARD,Nashik,Maharashtra,India
CUS000100,VIP,Chennai,Tamil Nadu,India
CUS000101,VIP,Nashik,Maharashtra,India
CUS000102,STANDARD,Chandigarh,Chandigarh,India
CUS000103,STANDARD,Indore,Madhya Pradesh,India
CUS000104,STANDARD,Kolkata,West Bengal,India
CUS000105,STANDARD,Ahmedabad,Gujarat,India
CUS000106,PREMIUM,Chennai,Tamil Nadu,India
CUS000107,PREMIUM,Hyderabad,Telangana,India
CUS000108,PREMIUM,Lucknow,Uttar Pradesh,India
CUS000109,STANDARD,Kochi,Kerala,India
CUS000110,VIP,Gurugram,Haryana,India
CUS000111,PREMIUM,Thiruvananthapuram,Kerala,India
CUS000112,STANDARD,Madurai,Tamil Nadu,India
CUS000113,PREMIUM,Indore,Madhya Pradesh,India
CUS000114,PREMIUM,Noida,Uttar Pradesh,India
CUS000115,PREMIUM,Surat,Gujarat,India
CUS000116,STANDARD,Madurai,Tamil Nadu,India
CUS000117,STANDARD,Bhopal,Madhya Pradesh,India
CUS000118,STANDARD,Noida,Uttar Pradesh,India
CUS000119,VIP,Bhubaneswar,Odisha,India
CUS000120,STANDARD,Chandigarh,Chandigarh,India
CUS000121,STANDARD,Surat,Gujarat,India
CUS000122,PREMIUM,Chandigarh,Chandigarh,India
CUS000123,STANDARD,Gurugram,Haryana,India
CUS000124,STANDARD,Chennai,Tamil Nadu,India
CUS000125,STANDARD,Visakhapatnam,Andhra Pradesh,India
CUS000126,VIP,Bengaluru,Karnataka,India
CUS000127,PREMIUM,Vijayawada,Andhra Pradesh,India
CUS000128,STANDARD,Kochi,Kerala,India
CUS000129,PREMIUM,Jaipur,Rajasthan,India
CUS000130,PREMIUM,Jaipur,Rajasthan,India
CUS000131,STANDARD,Surat,Gujarat,India
CUS000132,STANDARD,Coimbatore,Tamil Nadu,India
CUS000133,PREMIUM,Visakhapatnam,Andhra Pradesh,India
CUS000134,VIP,Gurugram,Haryana,India
CUS000135,STANDARD,Bhopal,Madhya Pradesh,India
CUS000136,PREMIUM,Jaipur,Rajasthan,India
CUS000137,VIP,Nagpur,Maharashtra,India
CUS000138,STANDARD,Delhi,Delhi,India
CUS000139,STANDARD,Nashik,Maharashtra,India
CUS000140,STANDARD,Mysuru,Karnataka,India
CUS000141,STANDARD,Gurugram,Haryana,India
CUS000142,STANDARD,Bhopal,Madhya Pradesh,India
CUS000143,PREMIUM,Kolkata,West Bengal,India
CUS000144,PREMIUM,Hyderabad,Telangana,India
CUS000145,PREMIUM,Delhi,Delhi,India
CUS000146,PREMIUM,Madurai,Tamil Nadu,India
CUS000147,PREMIUM,Gurugram,Haryana,India
CUS000148,PREMIUM,Kochi,Kerala,India
CUS000149,VIP,Bhopal,Madhya Pradesh,India
CUS000150,PREMIUM,Gurugram,Haryana,India
CUS000151,PREMIUM,Gurugram,Haryana,India
CUS000152,STANDARD,Mysuru,Karnataka,India
CUS000153,STANDARD,Gurugram,Haryana,India
CUS000154,PREMIUM,Visakhapatnam,Andhra Pradesh,India
CUS000155,STANDARD,Pune,Maharashtra,India
CUS000156,PREMIUM,Mumbai,Maharashtra,India
CUS000157,STANDARD,Delhi,Delhi,India
CUS000158,PREMIUM,Madurai,Tamil Nadu,India
CUS000159,VIP,Kolkata,West Bengal,India
CUS000160,PREMIUM,Vijayawada,Andhra Pradesh,India
CUS000161,PREMIUM,Thiruvananthapuram,Kerala,India
CUS000162,VIP,Hyderabad,Telangana,India
CUS000163,PREMIUM,Visakhapatnam,Andhra Pradesh,India
CUS000164,STANDARD,Gurugram,Haryana,India
CUS000165,STANDARD,Surat,Gujarat,India
CUS000166,STANDARD,Chandigarh,Chandigarh,India
CUS000167,STANDARD,Mysuru,Karnataka,India
CUS000168,STANDARD,Bengaluru,Karnataka,India
CUS000169,STANDARD,Ahmedabad,Gujarat,India
CUS000170,PREMIUM,Gurugram,Haryana,India
CUS000171,VIP,Surat,Gujarat,India
CUS000172,PREMIUM,Bhubaneswar,Odisha,India
CUS000173,PREMIUM,Ahmedabad,Gujarat,India
CUS000174,PREMIUM,Nashik,Maharashtra,India
CUS000175,STANDARD,Nashik,Maharashtra,India
CUS000176,PREMIUM,Bhubaneswar,Odisha,India
CUS000177,PREMIUM,Coimbatore,Tamil Nadu,India
CUS000178,STANDARD,Bhubaneswar,Odisha,India
CUS000179,VIP,Bhubaneswar,Odisha,India
CUS000180,PREMIUM,Visakhapatnam,Andhra Pradesh,India
CUS000181,PREMIUM,Noida,Uttar Pradesh,India
CUS000182,VIP,Nashik,Maharashtra,India
CUS000183,STANDARD,Kochi,Kerala,India
CUS000184,STANDARD,Mysuru,Karnataka,India
CUS000185,STANDARD,Visakhapatnam,Andhra Pradesh,India
CUS000186,STANDARD,Coimbatore,Tamil Nadu,India
CUS000187,STANDARD,Visakhapatnam,Andhra Pradesh,India
CUS000188,STANDARD,Bhubaneswar,Odisha,India
CUS000189,VIP,Noida,Uttar Pradesh,India
CUS000190,VIP,Surat,Gujarat,India
CUS000191,VIP,Coimbatore,Tamil Nadu,India
CUS000192,VIP,Jaipur,Rajasthan,India
CUS000193,STANDARD,Hyderabad,Telangana,India
CUS000194,STANDARD,Jaipur,Rajasthan,India
CUS000195,STANDARD,Chandigarh,Chandigarh,India
CUS000196,STANDARD,Noida,Uttar Pradesh,India
CUS000197,STANDARD,Surat,Gujarat,India
CUS000198,STANDARD,Ahmedabad,Gujarat,India
CUS000199,PREMIUM,Jaipur,Rajasthan,India
CUS000200,STANDARD,Gurugram,Haryana,India
CUS000201,STANDARD,Bhopal,Madhya Pradesh,India
CUS000202,PREMIUM,Mysuru,Karnataka,India
CUS000203,PREMIUM,Bengaluru,Karnataka,India
CUS000204,STANDARD,Thiruvananthapuram,Kerala,India
CUS000205,PREMIUM,Delhi,Delhi,India
CUS000206,STANDARD,Pune,Maharashtra,India
CUS000207,STANDARD,Kochi,Kerala,India
CUS000208,STANDARD,Bhopal,Madhya Pradesh,India
CUS000209,STANDARD,Lucknow,Uttar Pradesh,India
CUS000210,STANDARD,Bhopal,Madhya Pradesh,India
CUS000211,VIP,Lucknow,Uttar Pradesh,India
CUS000212,PREMIUM,Madurai,Tamil Nadu,India
CUS000213,PREMIUM,Delhi,Delhi,India
CUS000214,STANDARD,Kochi,Kerala,India
CUS000215,PREMIUM,Kochi,Kerala,India
CUS000216,PREMIUM,Madurai,Tamil Nadu,India
CUS000217,VIP,Nagpur,Maharashtra,India
CUS000218,STANDARD,Chandigarh,Chandigarh,India
CUS000219,PREMIUM,Madurai,Tamil Nadu,India
CUS000220,STANDARD,Indore,Madhya Pradesh,India
CUS000221,STANDARD,Bhopal,Madhya Pradesh,India
CUS000222,PREMIUM,Visakhapatnam,Andhra Pradesh,India
CUS000223,PREMIUM,Chennai,Tamil Nadu,India
CUS000224,VIP,Mumbai,Maharashtra,India
CUS000225,VIP,Nagpur,Maharashtra,India
CUS000226,VIP,Visakhapatnam,Andhra Pradesh,India
CUS000227,VIP,Thiruvananthapuram,Kerala,India
CUS000228,STANDARD,Coimbatore,Tamil Nadu,India
CUS000229,PREMIUM,Chandigarh,Chandigarh,India
CUS000230,STANDARD,Madurai,Tamil Nadu,India
CUS000231,STANDARD,Hyderabad,Telangana,India
CUS000232,STANDARD,Vijayawada,Andhra Pradesh,India
CUS000233,STANDARD,Chennai,Tamil Nadu,India
CUS000234,PREMIUM,Chennai,Tamil Nadu,India
CUS000235,STANDARD,Surat,Gujarat,India
CUS000236,PREMIUM,Surat,Gujarat,India
CUS000237,STANDARD,Chandigarh,Chandigarh,India
CUS000238,STANDARD,Thiruvananthapuram,Kerala,India
CUS000239,STANDARD,Pune,Maharashtra,India
CUS000240,PREMIUM,Kochi,Kerala,India
CUS000241,STANDARD,Mumbai,Maharashtra,India
CUS000242,PREMIUM,Gurugram,Haryana,India
CUS000243,STANDARD,Visakhapatnam,Andhra Pradesh,India
CUS000244,STANDARD,Hyderabad,Telangana,India
CUS000245,STANDARD,Bhopal,Madhya Pradesh,India
CUS000246,STANDARD,Kochi,Kerala,India
CUS000247,STANDARD,Gurugram,Haryana,India
CUS000248,VIP,Nagpur,Maharashtra,India
CUS000249,STANDARD,Coimbatore,Tamil Nadu,India
CUS000250,STANDARD,Nagpur,Maharashtra,India
CUS000251,VIP,Thiruvananthapuram,Kerala,India
CUS000252,STANDARD,Gurugram,Haryana,India
CUS000253,VIP,Madurai,Tamil Nadu,India
CUS000254,VIP,Mysuru,Karnataka,India
CUS000255,STANDARD,Bhopal,Madhya Pradesh,India
CUS000256,VIP,Hyderabad,Telangana,India
CUS000257,VIP,Nagpur,Maharashtra,India
CUS000258,STANDARD,Nashik,Maharashtra,India
CUS000259,PREMIUM,Noida,Uttar Pradesh,India
CUS000260,STANDARD,Nagpur,Maharashtra,India
CUS000261,STANDARD,Surat,Gujarat,India
CUS000262,VIP,Kolkata,West Bengal,India
CUS000263,STANDARD,Visakhapatnam,Andhra Pradesh,India
CUS000264,VIP,Mumbai,Maharashtra,India
CUS000265,STANDARD,Chennai,Tamil Nadu,India
CUS000266,VIP,Hyderabad,Telangana,India
CUS000267,PREMIUM,Delhi,Delhi,India
CUS000268,STANDARD,Nagpur,Maharashtra,India
CUS000269,STANDARD,Madurai,Tamil Nadu,India
CUS000270,STANDARD,Indore,Madhya Pradesh,India
CUS000271,STANDARD,Nashik,Maharashtra,India
CUS000272,STANDARD,Coimbatore,Tamil Nadu,India
CUS000273,PREMIUM,Delhi,Delhi,India
CUS000274,STANDARD,Bhubaneswar,Odisha,India
CUS000275,VIP,Kochi,Kerala,India
CUS000276,STANDARD,Delhi,Delhi,India
CUS000277,PREMIUM,Kolkata,West Bengal,India
CUS000278,PREMIUM,Mumbai,Maharashtra,India
CUS000279,STANDARD,Kochi,Kerala,India
CUS000280,STANDARD,Visakhapatnam,Andhra Pradesh,India
CUS000281,STANDARD,Indore,Madhya Pradesh,India
CUS000282,VIP,Kochi,Kerala,India
CUS000283,PREMIUM,Delhi,Delhi,India
CUS000284,VIP,Jaipur,Rajasthan,India
CUS000285,STANDARD,Visakhapatnam,Andhra Pradesh,India
CUS000286,STANDARD,Nagpur,Maharashtra,India
CUS000287,STANDARD,Delhi,Delhi,India
CUS000288,VIP,Surat,Gujarat,India
CUS000289,STANDARD,Madurai,Tamil Nadu,India
CUS000290,STANDARD,Hyderabad,Telangana,India
CUS000291,STANDARD,Chandigarh,Chandigarh,India
CUS000292,STANDARD,Lucknow,Uttar Pradesh,India
CUS000293,STANDARD,Kochi,Kerala,India
CUS000294,PREMIUM,Lucknow,Uttar Pradesh,India
CUS000295,PREMIUM,Jaipur,Rajasthan,India
CUS000296,PREMIUM,Indore,Madhya Pradesh,India
CUS000297,VIP,Mysuru,Karnataka,India
CUS000298,VIP,Mumbai,Maharashtra,India
CUS000299,STANDARD,Mysuru,Karnataka,India
CUS000300,PREMIUM,Kolkata,West Bengal,India
CUS000301,STANDARD,Kolkata,West Bengal,India
CUS000302,PREMIUM,Indore,Madhya Pradesh,India
CUS000303,VIP,Mysuru,Karnataka,India
CUS000304,STANDARD,Pune,Maharashtra,India
CUS000305,PREMIUM,Vijayawada,Andhra Pradesh,India
CUS000306,STANDARD,Nashik,Maharashtra,India
CUS000307,VIP,Vijayawada,Andhra Pradesh,India
CUS000308,STANDARD,Jaipur,Rajasthan,India
CUS000309,STANDARD,Kolkata,West Bengal,India
CUS000310,STANDARD,Coimbatore,Tamil Nadu,India
CUS000311,PREMIUM,Delhi,Delhi,India
CUS000312,PREMIUM,Surat,Gujarat,India
CUS000313,PREMIUM,Coimbatore,Tamil Nadu,India
CUS000314,STANDARD,Thiruvananthapuram,Kerala,India
CUS000315,PREMIUM,Bhubaneswar,Odisha,India
CUS000316,STANDARD,Bhubaneswar,Odisha,India
CUS000317,PREMIUM,Mumbai,Maharashtra,India
CUS000318,STANDARD,Nagpur,Maharashtra,India
CUS000319,STANDARD,Bengaluru,Karnataka,India
CUS000320,STANDARD,Pune,Maharashtra,India
CUS000321,PREMIUM,Chandigarh,Chandigarh,India
CUS000322,STANDARD,Kolkata,West Bengal,India
CUS000323,VIP,Kochi,Kerala,India
CUS000324,PREMIUM,Kolkata,West Bengal,India
CUS000325,VIP,Hyderabad,Telangana,India
CUS000326,STANDARD,Madurai,Tamil Nadu,India
CUS000327,PREMIUM,Kochi,Kerala,India
CUS000328,PREMIUM,Ahmedabad,Gujarat,India
CUS000329,STANDARD,Delhi,Delhi,India
CUS000330,STANDARD,Nagpur,Maharashtra,India
CUS000331,PREMIUM,Nagpur,Maharashtra,India
CUS000332,STANDARD,Noida,Uttar Pradesh,India
CUS000333,STANDARD,Ahmedabad,Gujarat,India
CUS000334,PREMIUM,Madurai,Tamil Nadu,India
CUS000335,VIP,Kochi,Kerala,India
CUS000336,VIP,Thiruvananthapuram,Kerala,India
CUS000337,STANDARD,Nagpur,Maharashtra,India
CUS000338,PREMIUM,Bhopal,Madhya Pradesh,India
CUS000339,STANDARD,Indore,Madhya Pradesh,India
CUS000340,STANDARD,Pune,Maharashtra,India
CUS000341,PREMIUM,Nagpur,Maharashtra,India
CUS000342,PREMIUM,Nashik,Maharashtra,India
CUS000343,PREMIUM,Jaipur,Rajasthan,India
CUS000344,STANDARD,Pune,Maharashtra,India
CUS000345,VIP,Thiruvananthapuram,Kerala,India
CUS000346,VIP,Thiruvananthapuram,Kerala,India
CUS000347,STANDARD,Gurugram,Haryana,India
CUS000348,VIP,Mumbai,Maharashtra,India
CUS000349,VIP,Delhi,Delhi,India
CUS000350,STANDARD,Mumbai,Maharashtra,India
CUS000351,STANDARD,Vijayawada,Andhra Pradesh,India
CUS000352,PREMIUM,Kolkata,West Bengal,India
CUS000353,VIP,Chandigarh,Chandigarh,India
CUS000354,STANDARD,Bengaluru,Karnataka,India
CUS000355,STANDARD,Coimbatore,Tamil Nadu,India
CUS000356,STANDARD,Indore,Madhya Pradesh,India
CUS000357,STANDARD,Indore,Madhya Pradesh,India
CUS000358,STANDARD,Bhubaneswar,Odisha,India
CUS000359,PREMIUM,Chennai,Tamil Nadu,India
CUS000360,PREMIUM,Bengaluru,Karnataka,India
CUS000361,STANDARD,Nagpur,Maharashtra,India
CUS000362,PREMIUM,Bhopal,Madhya Pradesh,India
CUS000363,STANDARD,Kochi,Kerala,India
CUS000364,PREMIUM,Vijayawada,Andhra Pradesh,India
CUS000365,STANDARD,Kolkata,West Bengal,India
CUS000366,PREMIUM,Pune,Maharashtra,India
CUS000367,STANDARD,Surat,Gujarat,India
CUS000368,STANDARD,Coimbatore,Tamil Nadu,India
CUS000369,STANDARD,Bengaluru,Karnataka,India
CUS000370,VIP,Surat,Gujarat,India
CUS000371,STANDARD,Indore,Madhya Pradesh,India
CUS000372,VIP,Lucknow,Uttar Pradesh,India
CUS000373,STANDARD,Kolkata,West Bengal,India
CUS000374,STANDARD,Pune,Maharashtra,India
CUS000375,STANDARD,Lucknow,Uttar Pradesh,India
CUS000376,STANDARD,Vijayawada,Andhra Pradesh,India
CUS000377,STANDARD,Madurai,Tamil Nadu,India
CUS000378,STANDARD,Gurugram,Haryana,India
CUS000379,VIP,Ahmedabad,Gujarat,India
CUS000380,VIP,Indore,Madhya Pradesh,India
CUS000381,STANDARD,Hyderabad,Telangana,India
CUS000382,STANDARD,Chennai,Tamil Nadu,India
CUS000383,VIP,Hyderabad,Telangana,India
CUS000384,STANDARD,Chennai,Tamil Nadu,India
CUS000385,PREMIUM,Nagpur,Maharashtra,India
CUS000386,STANDARD,Coimbatore,Tamil Nadu,India
CUS000387,VIP,Kolkata,West Bengal,India
CUS000388,STANDARD,Pune,Maharashtra,India
CUS000389,PREMIUM,Lucknow,Uttar Pradesh,India
CUS000390,PREMIUM,Pune,Maharashtra,India
CUS000391,PREMIUM,Nagpur,Maharashtra,India
CUS000392,STANDARD,Mysuru,Karnataka,India
CUS000393,STANDARD,Chennai,Tamil Nadu,India
CUS000394,PREMIUM,Ahmedabad,Gujarat,India
CUS000395,STANDARD,Mumbai,Maharashtra,India
CUS000396,STANDARD,Noida,Uttar Pradesh,India
CUS000397,STANDARD,Surat,Gujarat,India
CUS000398,PREMIUM,Indore,Madhya Pradesh,India
CUS000399,PREMIUM,Lucknow,Uttar Pradesh,India
CUS000400,PREMIUM,Coimbatore,Tamil Nadu,India
CUS000401,STANDARD,Vijayawada,Andhra Pradesh,India
CUS000402,PREMIUM,Indore,Madhya Pradesh,India
CUS000403,STANDARD,Bhubaneswar,Odisha,India
CUS000404,STANDARD,Delhi,Delhi,India
CUS000405,STANDARD,Hyderabad,Telangana,India
CUS000406,PREMIUM,Lucknow,Uttar Pradesh,India
CUS000407,VIP,Coimbatore,Tamil Nadu,India
CUS000408,STANDARD,Bhopal,Madhya Pradesh,India
CUS000409,STANDARD,Chennai,Tamil Nadu,India
CUS000410,VIP,Bhubaneswar,Odisha,India
CUS000411,VIP,Madurai,Tamil Nadu,India
CUS000412,STANDARD,Indore,Madhya Pradesh,India
CUS000413,STANDARD,Nashik,Maharashtra,India
CUS000414,STANDARD,Kolkata,West Bengal,India
CUS000415,PREMIUM,Hyderabad,Telangana,India
CUS000416,STANDARD,Pune,Maharashtra,India
CUS000417,STANDARD,Bhopal,Madhya Pradesh,India
CUS000418,STANDARD,Nagpur,Maharashtra,India
CUS000419,PREMIUM,Lucknow,Uttar Pradesh,India
CUS000420,VIP,Hyderabad,Telangana,India
CUS000421,PREMIUM,Coimbatore,Tamil Nadu,India
CUS000422,STANDARD,Indore,Madhya Pradesh,India
CUS000423,STANDARD,Surat,Gujarat,India
CUS000424,STANDARD,Kolkata,West Bengal,India
CUS000425,PREMIUM,Kochi,Kerala,India
CUS000426,PREMIUM,Nagpur,Maharashtra,India
CUS000427,STANDARD,Surat,Gujarat,India
CUS000428,VIP,Hyderabad,Telangana,India
CUS000429,STANDARD,Delhi,Delhi,India
CUS000430,STANDARD,Mysuru,Karnataka,India
CUS000431,PREMIUM,Chennai,Tamil Nadu,India
CUS000432,VIP,Bhopal,Madhya Pradesh,India
CUS000433,STANDARD,Chennai,Tamil Nadu,India
CUS000434,STANDARD,Visakhapatnam,Andhra Pradesh,India
CUS000435,STANDARD,Lucknow,Uttar Pradesh,India
CUS000436,STANDARD,Noida,Uttar Pradesh,India
CUS000437,PREMIUM,Bhubaneswar,Odisha,India
CUS000438,STANDARD,Nashik,Maharashtra,India
CUS000439,STANDARD,Nashik,Maharashtra,India
CUS000440,PREMIUM,Visakhapatnam,Andhra Pradesh,India
CUS000441,PREMIUM,Chennai,Tamil Nadu,India
CUS000442,PREMIUM,Nashik,Maharashtra,India
CUS000443,STANDARD,Coimbatore,Tamil Nadu,India
CUS000444,STANDARD,Visakhapatnam,Andhra Pradesh,India
CUS000445,STANDARD,Visakhapatnam,Andhra Pradesh,India
CUS000446,STANDARD,Nashik,Maharashtra,India
CUS000447,VIP,Gurugram,Haryana,India
CUS000448,VIP,Mysuru,Karnataka,India
CUS000449,PREMIUM,Bhopal,Madhya Pradesh,India
CUS000450,STANDARD,Pune,Maharashtra,India
CUS000451,STANDARD,Chennai,Tamil Nadu,India
CUS000452,VIP,Nagpur,Maharashtra,India
CUS000453,STANDARD,Lucknow,Uttar Pradesh,India
CUS000454,PREMIUM,Madurai,Tamil Nadu,India
CUS000455,VIP,Pune,Maharashtra,India
CUS000456,STANDARD,Mysuru,Karnataka,India
CUS000457,STANDARD,Gurugram,Haryana,India
CUS000458,PREMIUM,Madurai,Tamil Nadu,India
CUS000459,VIP,Ahmedabad,Gujarat,India
CUS000460,STANDARD,Ahmedabad,Gujarat,India
CUS000461,PREMIUM,Nashik,Maharashtra,India
CUS000462,STANDARD,Nashik,Maharashtra,India
CUS000463,STANDARD,Nashik,Maharashtra,India
CUS000464,STANDARD,Pune,Maharashtra,India
CUS000465,STANDARD,Delhi,Delhi,India
CUS000466,STANDARD,Madurai,Tamil Nadu,India
CUS000467,VIP,Thiruvananthapuram,Kerala,India
CUS000468,STANDARD,Kochi,Kerala,India
CUS000469,PREMIUM,Surat,Gujarat,India
CUS000470,STANDARD,Bengaluru,Karnataka,India
CUS000471,STANDARD,Mumbai,Maharashtra,India
CUS000472,VIP,Noida,Uttar Pradesh,India
CUS000473,STANDARD,Visakhapatnam,Andhra Pradesh,India
CUS000474,STANDARD,Nagpur,Maharashtra,India
CUS000475,STANDARD,Nashik,Maharashtra,India
CUS000476,STANDARD,Visakhapatnam,Andhra Pradesh,India
CUS000477,PREMIUM,Gurugram,Haryana,India
CUS000478,VIP,Hyderabad,Telangana,India
CUS000479,PREMIUM,Madurai,Tamil Nadu,India
CUS000480,PREMIUM,Mumbai,Maharashtra,India
CUS000481,PREMIUM,Thiruvananthapuram,Kerala,India
CUS000482,STANDARD,Gurugram,Haryana,India
CUS000483,STANDARD,Noida,Uttar Pradesh,India
CUS000484,STANDARD,Bengaluru,Karnataka,India
CUS000485,STANDARD,Visakhapatnam,Andhra Pradesh,India
CUS000486,PREMIUM,Pune,Maharashtra,India
CUS000487,PREMIUM,Jaipur,Rajasthan,India
CUS000488,VIP,Lucknow,Uttar Pradesh,India
CUS000489,PREMIUM,Mysuru,Karnataka,India
CUS000490,PREMIUM,Hyderabad,Telangana,India
CUS000491,STANDARD,Vijayawada,Andhra Pradesh,India
CUS000492,STANDARD,Nagpur,Maharashtra,India
CUS000493,STANDARD,Madurai,Tamil Nadu,India
CUS000494,STANDARD,Hyderabad,Telangana,India
CUS000495,PREMIUM,Kochi,Kerala,India
CUS000496,VIP,Lucknow,Uttar Pradesh,India
CUS000497,PREMIUM,Chandigarh,Chandigarh,India
CUS000498,STANDARD,Chandigarh,Chandigarh,India
CUS000499,VIP,Madurai,Tamil Nadu,India
CUS000500,PREMIUM,Coimbatore,Tamil Nadu,India
CUS000501,PREMIUM,Ahmedabad,Gujarat,India
CUS000502,PREMIUM,Coimbatore,Tamil Nadu,India
CUS000503,STANDARD,Kolkata,West Bengal,India
CUS000504,STANDARD,Madurai,Tamil Nadu,India
CUS000505,STANDARD,Gurugram,Haryana,India
CUS000506,PREMIUM,Chennai,Tamil Nadu,India
CUS000507,STANDARD,Lucknow,Uttar Pradesh,India
CUS000508,STANDARD,Chandigarh,Chandigarh,India
CUS000509,PREMIUM,Pune,Maharashtra,India
CUS000510,STANDARD,Kolkata,West Bengal,India
